M,N,K,q_dtype_w
8,7168,1536,torch.float8_e4m3fn
16,7168,1536,torch.float8_e4m3fn
32,7168,1536,torch.float8_e4m3fn
64,7168,1536,torch.float8_e4m3fn
128,7168,1536,torch.float8_e4m3fn
256,7168,1536,torch.float8_e4m3fn
512,7168,1536,torch.float8_e4m3fn
1024,7168,1536,torch.float8_e4m3fn
2048,7168,1536,torch.float8_e4m3fn
4096,7168,1536,torch.float8_e4m3fn
8192,7168,1536,torch.float8_e4m3fn
16384,7168,1536,torch.float8_e4m3fn
32768,7168,1536,torch.float8_e4m3fn
1,7168,4224,torch.float8_e4m3fn
2,7168,4224,torch.float8_e4m3fn
4,7168,4224,torch.float8_e4m3fn
8,7168,4224,torch.float8_e4m3fn
16,7168,4224,torch.float8_e4m3fn
32,7168,4224,torch.float8_e4m3fn
64,7168,4224,torch.float8_e4m3fn
128,7168,4224,torch.float8_e4m3fn
256,7168,4224,torch.float8_e4m3fn
512,7168,4224,torch.float8_e4m3fn
1024,7168,4224,torch.float8_e4m3fn
2048,7168,4224,torch.float8_e4m3fn
4096,7168,4224,torch.float8_e4m3fn
8192,7168,4224,torch.float8_e4m3fn
16384,7168,4224,torch.float8_e4m3fn
32768,7168,4224,torch.float8_e4m3fn
1,8448,7168,torch.float8_e4m3fn
2,8448,7168,torch.float8_e4m3fn
4,8448,7168,torch.float8_e4m3fn
8,8448,7168,torch.float8_e4m3fn
16,8448,7168,torch.float8_e4m3fn
32,8448,7168,torch.float8_e4m3fn
64,8448,7168,torch.float8_e4m3fn
128,8448,7168,torch.float8_e4m3fn
256,8448,7168,torch.float8_e4m3fn
512,8448,7168,torch.float8_e4m3fn
1024,8448,7168,torch.float8_e4m3fn
2048,8448,7168,torch.float8_e4m3fn
4096,8448,7168,torch.float8_e4m3fn
8192,8448,7168,torch.float8_e4m3fn
16384,8448,7168,torch.float8_e4m3fn
32768,8448,7168,torch.float8_e4m3fn
1,1536,1536,torch.float8_e4m3fn
2,1536,1536,torch.float8_e4m3fn
4,1536,1536,torch.float8_e4m3fn
8,1536,1536,torch.float8_e4m3fn
16,1536,1536,torch.float8_e4m3fn
32,1536,1536,torch.float8_e4m3fn
48,1536,1536,torch.float8_e4m3fn
64,1536,1536,torch.float8_e4m3fn
128,1536,1536,torch.float8_e4m3fn
256,1536,1536,torch.float8_e4m3fn
512,1536,1536,torch.float8_e4m3fn
1024,1536,1536,torch.float8_e4m3fn
2048,1536,1536,torch.float8_e4m3fn
4096,1536,1536,torch.float8_e4m3fn
8192,1536,1536,torch.float8_e4m3fn
16384,1536,1536,torch.float8_e4m3fn
32768,1536,1536,torch.float8_e4m3fn
1,2048,512,torch.float8_e4m3fn
2,2048,512,torch.float8_e4m3fn
4,2048,512,torch.float8_e4m3fn
8,2048,512,torch.float8_e4m3fn
16,2048,512,torch.float8_e4m3fn
32,2048,512,torch.float8_e4m3fn
48,2048,512,torch.float8_e4m3fn
64,2048,512,torch.float8_e4m3fn
128,2048,512,torch.float8_e4m3fn
256,2048,512,torch.float8_e4m3fn
512,2048,512,torch.float8_e4m3fn
1024,2048,512,torch.float8_e4m3fn
2048,2048,512,torch.float8_e4m3fn
4096,2048,512,torch.float8_e4m3fn
8192,2048,512,torch.float8_e4m3fn
16384,2048,512,torch.float8_e4m3fn
32768,2048,512,torch.float8_e4m3fn
1,3584,7168,torch.float8_e4m3fn
2,3584,7168,torch.float8_e4m3fn
4,3584,7168,torch.float8_e4m3fn
8,3584,7168,torch.float8_e4m3fn
16,3584,7168,torch.float8_e4m3fn
32,3584,7168,torch.float8_e4m3fn
48,3584,7168,torch.float8_e4m3fn
64,3584,7168,torch.float8_e4m3fn
128,3584,7168,torch.float8_e4m3fn
256,3584,7168,torch.float8_e4m3fn
512,3584,7168,torch.float8_e4m3fn
1024,3584,7168,torch.float8_e4m3fn
2048,3584,7168,torch.float8_e4m3fn
4096,3584,7168,torch.float8_e4m3fn
8192,3584,7168,torch.float8_e4m3fn
16384,3584,7168,torch.float8_e4m3fn
32768,3584,7168,torch.float8_e4m3fn
1,7168,1024,torch.float8_e4m3fn
2,7168,1024,torch.float8_e4m3fn
4,7168,1024,torch.float8_e4m3fn
8,7168,1024,torch.float8_e4m3fn
16,7168,1024,torch.float8_e4m3fn
32,7168,1024,torch.float8_e4m3fn
48,7168,1024,torch.float8_e4m3fn
64,7168,1024,torch.float8_e4m3fn
128,7168,1024,torch.float8_e4m3fn
256,7168,1024,torch.float8_e4m3fn
512,7168,1024,torch.float8_e4m3fn
1024,7168,1024,torch.float8_e4m3fn
2048,7168,1024,torch.float8_e4m3fn
4096,7168,1024,torch.float8_e4m3fn
8192,7168,1024,torch.float8_e4m3fn
16384,7168,1024,torch.float8_e4m3fn
32768,7168,1024,torch.float8_e4m3fn
1,7168,1792,torch.float8_e4m3fn
2,7168,1792,torch.float8_e4m3fn
4,7168,1792,torch.float8_e4m3fn
8,7168,1792,torch.float8_e4m3fn
16,7168,1792,torch.float8_e4m3fn
32,7168,1792,torch.float8_e4m3fn
48,7168,1792,torch.float8_e4m3fn
64,7168,1792,torch.float8_e4m3fn
128,7168,1792,torch.float8_e4m3fn
256,7168,1792,torch.float8_e4m3fn
512,7168,1792,torch.float8_e4m3fn
1024,7168,1792,torch.float8_e4m3fn
2048,7168,1792,torch.float8_e4m3fn
4096,7168,1792,torch.float8_e4m3fn
8192,7168,1792,torch.float8_e4m3fn
16384,7168,1792,torch.float8_e4m3fn
32768,7168,1792,torch.float8_e4m3fn
4224,7168,1536,torch.float8_e4m3fn
4480,7168,1536,torch.float8_e4m3fn
4608,7168,1536,torch.float8_e4m3fn
4736,7168,1536,torch.float8_e4m3fn
4992,7168,1536,torch.float8_e4m3fn
5888,7168,1536,torch.float8_e4m3fn
6016,7168,1536,torch.float8_e4m3fn
6272,7168,1536,torch.float8_e4m3fn
6528,7168,1536,torch.float8_e4m3fn
6784,7168,1536,torch.float8_e4m3fn
6912,7168,1536,torch.float8_e4m3fn
7040,7168,1536,torch.float8_e4m3fn
7296,7168,1536,torch.float8_e4m3fn
8064,7168,1536,torch.float8_e4m3fn
8320,7168,1536,torch.float8_e4m3fn
8448,7168,1536,torch.float8_e4m3fn
8576,7168,1536,torch.float8_e4m3fn
8832,7168,1536,torch.float8_e4m3fn
9088,7168,1536,torch.float8_e4m3fn
9600,7168,1536,torch.float8_e4m3fn
9856,7168,1536,torch.float8_e4m3fn
10112,7168,1536,torch.float8_e4m3fn
10368,7168,1536,torch.float8_e4m3fn
10624,7168,1536,torch.float8_e4m3fn
10880,7168,1536,torch.float8_e4m3fn
11136,7168,1536,torch.float8_e4m3fn
11392,7168,1536,torch.float8_e4m3fn
11904,7168,1536,torch.float8_e4m3fn
12672,7168,1536,torch.float8_e4m3fn
12928,7168,1536,torch.float8_e4m3fn
13184,7168,1536,torch.float8_e4m3fn
13440,7168,1536,torch.float8_e4m3fn
13696,7168,1536,torch.float8_e4m3fn
14208,7168,1536,torch.float8_e4m3fn
14464,7168,1536,torch.float8_e4m3fn
14720,7168,1536,torch.float8_e4m3fn
14976,7168,1536,torch.float8_e4m3fn
15232,7168,1536,torch.float8_e4m3fn
15488,7168,1536,torch.float8_e4m3fn
15744,7168,1536,torch.float8_e4m3fn
16000,7168,1536,torch.float8_e4m3fn
16256,7168,1536,torch.float8_e4m3fn
1,3072,128,torch.float8_e4m3fn
2,3072,128,torch.float8_e4m3fn
4,3072,128,torch.float8_e4m3fn
8,3072,128,torch.float8_e4m3fn
16,3072,128,torch.float8_e4m3fn
32,3072,128,torch.float8_e4m3fn
64,3072,128,torch.float8_e4m3fn
128,3072,128,torch.float8_e4m3fn
256,3072,128,torch.float8_e4m3fn
512,3072,128,torch.float8_e4m3fn
1024,3072,128,torch.float8_e4m3fn
1088,3072,128,torch.float8_e4m3fn
1152,3072,128,torch.float8_e4m3fn
1216,3072,128,torch.float8_e4m3fn
1280,3072,128,torch.float8_e4m3fn
1344,3072,128,torch.float8_e4m3fn
1408,3072,128,torch.float8_e4m3fn
1472,3072,128,torch.float8_e4m3fn
1536,3072,128,torch.float8_e4m3fn
1600,3072,128,torch.float8_e4m3fn
1664,3072,128,torch.float8_e4m3fn
1728,3072,128,torch.float8_e4m3fn
1792,3072,128,torch.float8_e4m3fn
1856,3072,128,torch.float8_e4m3fn
1920,3072,128,torch.float8_e4m3fn
1984,3072,128,torch.float8_e4m3fn
2048,3072,128,torch.float8_e4m3fn
2112,3072,128,torch.float8_e4m3fn
2176,3072,128,torch.float8_e4m3fn
2240,3072,128,torch.float8_e4m3fn
2304,3072,128,torch.float8_e4m3fn
2368,3072,128,torch.float8_e4m3fn
2432,3072,128,torch.float8_e4m3fn
2496,3072,128,torch.float8_e4m3fn
2560,3072,128,torch.float8_e4m3fn
2624,3072,128,torch.float8_e4m3fn
2688,3072,128,torch.float8_e4m3fn
2752,3072,128,torch.float8_e4m3fn
2816,3072,128,torch.float8_e4m3fn
2880,3072,128,torch.float8_e4m3fn
2944,3072,128,torch.float8_e4m3fn
3008,3072,128,torch.float8_e4m3fn
3072,3072,128,torch.float8_e4m3fn
3136,3072,128,torch.float8_e4m3fn
3200,3072,128,torch.float8_e4m3fn
3264,3072,128,torch.float8_e4m3fn
3328,3072,128,torch.float8_e4m3fn
3392,3072,128,torch.float8_e4m3fn
3456,3072,128,torch.float8_e4m3fn
3520,3072,128,torch.float8_e4m3fn
3584,3072,128,torch.float8_e4m3fn
3648,3072,128,torch.float8_e4m3fn
3712,3072,128,torch.float8_e4m3fn
3776,3072,128,torch.float8_e4m3fn
3840,3072,128,torch.float8_e4m3fn
3904,3072,128,torch.float8_e4m3fn
3968,3072,128,torch.float8_e4m3fn
4032,3072,128,torch.float8_e4m3fn
4096,3072,128,torch.float8_e4m3fn
8192,3072,128,torch.float8_e4m3fn
16384,3072,128,torch.float8_e4m3fn
32768,3072,128,torch.float8_e4m3fn
