M,N,K
224,5120,5120
240,5120,5120
256,5120,5120
512,5120,5120
1024,5120,5120
2048,5120,5120
4096,5120,5120
8192,5120,5120
16384,5120,5120
1,3072,5120
2,3072,5120
4,3072,5120
8,3072,5120
16,3072,5120
32,3072,5120
48,3072,5120
64,3072,5120
80,3072,5120
96,3072,5120
112,3072,5120
128,3072,5120
144,3072,5120
160,3072,5120
176,3072,5120
192,3072,5120
208,3072,5120
224,3072,5120
240,3072,5120
256,3072,5120
512,3072,5120
1024,3072,5120
2048,3072,5120
4096,3072,5120
8192,3072,5120
16384,3072,5120
1,5120,3072
2,5120,3072
4,5120,3072
8,5120,3072
16,5120,3072
32,5120,3072
48,5120,3072
64,5120,3072
80,5120,3072
96,5120,3072
112,5120,3072
128,5120,3072
144,5120,3072
160,5120,3072
176,5120,3072
192,5120,3072
208,5120,3072
224,5120,3072
240,5120,3072
256,5120,3072
512,5120,3072
1024,5120,3072
2048,5120,3072
4096,5120,3072
8192,5120,3072
16384,5120,3072
1,5120,8704
2,5120,8704
4,5120,8704
8,5120,8704
16,5120,8704
32,5120,8704
48,5120,8704
64,5120,8704
80,5120,8704
96,5120,8704
112,5120,8704
128,5120,8704
144,5120,8704
160,5120,8704
176,5120,8704
192,5120,8704
208,5120,8704
224,5120,8704
240,5120,8704
256,5120,8704
512,5120,8704
1024,5120,8704
2048,5120,8704
4096,5120,8704
8192,5120,8704
16384,5120,8704
1,8704,5120
2,8704,5120
4,8704,5120
8,8704,5120
16,8704,5120
32,8704,5120
48,8704,5120
64,8704,5120
80,8704,5120
96,8704,5120
112,8704,5120
128,8704,5120
144,8704,5120
160,8704,5120
176,8704,5120
192,8704,5120
208,8704,5120
224,8704,5120
240,8704,5120
256,8704,5120
512,8704,5120
1024,8704,5120
2048,8704,5120
4096,8704,5120
8192,8704,5120
16384,8704,5120
1,512,5120
2,512,5120
4,512,5120
8,512,5120
16,512,5120
32,512,5120
48,512,5120
64,512,5120
80,512,5120
96,512,5120
112,512,5120
128,512,5120
144,512,5120
160,512,5120
176,512,5120
192,512,5120
208,512,5120
224,512,5120
240,512,5120
256,512,5120
512,512,5120
1024,512,5120
2048,512,5120
4096,512,5120
8192,512,5120
16384,512,5120
1,7168,5120
2,7168,5120
4,7168,5120
8,7168,5120
16,7168,5120
32,7168,5120
48,7168,5120
64,7168,5120
80,7168,5120
96,7168,5120
112,7168,5120
128,7168,5120
144,7168,5120
160,7168,5120
176,7168,5120
192,7168,5120
208,7168,5120
224,7168,5120
240,7168,5120
256,7168,5120
512,7168,5120
1024,7168,5120
2048,7168,5120
4096,7168,5120
8192,7168,5120
16384,7168,5120
1,2560,5120
2,2560,5120
4,2560,5120
8,2560,5120
16,2560,5120
32,2560,5120
48,2560,5120
64,2560,5120
80,2560,5120
96,2560,5120
112,2560,5120
128,2560,5120
144,2560,5120
160,2560,5120
176,2560,5120
192,2560,5120
208,2560,5120
224,2560,5120
240,2560,5120
256,2560,5120
512,2560,5120
1024,2560,5120
2048,2560,5120
4096,2560,5120
8192,2560,5120
16384,2560,5120
1,1536,5120
2,1536,5120
4,1536,5120
8,1536,5120
16,1536,5120
32,1536,5120
48,1536,5120
64,1536,5120
80,1536,5120
96,1536,5120
112,1536,5120
128,1536,5120
144,1536,5120
160,1536,5120
176,1536,5120
192,1536,5120
208,1536,5120
224,1536,5120
240,1536,5120
256,1536,5120
512,1536,5120
1024,1536,5120
2048,1536,5120
4096,1536,5120
8192,1536,5120
16384,1536,5120
1,5120,1536
2,5120,1536
4,5120,1536
8,5120,1536
16,5120,1536
32,5120,1536
48,5120,1536
64,5120,1536
80,5120,1536
96,5120,1536
112,5120,1536
128,5120,1536
144,5120,1536
160,5120,1536
176,5120,1536
192,5120,1536
208,5120,1536
224,5120,1536
240,5120,1536
256,5120,1536
512,5120,1536
1024,5120,1536
2048,5120,1536
4096,5120,1536
8192,5120,1536
16384,5120,1536
1,5120,4352
2,5120,4352
4,5120,4352
8,5120,4352
16,5120,4352
32,5120,4352
48,5120,4352
64,5120,4352
80,5120,4352
96,5120,4352
112,5120,4352
128,5120,4352
144,5120,4352
160,5120,4352
176,5120,4352
192,5120,4352
208,5120,4352
224,5120,4352
240,5120,4352
256,5120,4352
512,5120,4352
1024,5120,4352
2048,5120,4352
4096,5120,4352
8192,5120,4352
16384,5120,4352
1,4352,5120
2,4352,5120
4,4352,5120
8,4352,5120
16,4352,5120
32,4352,5120
48,4352,5120
64,4352,5120
80,4352,5120
96,4352,5120
112,4352,5120
128,4352,5120
144,4352,5120
160,4352,5120
176,4352,5120
192,4352,5120
208,4352,5120
224,4352,5120
240,4352,5120
256,4352,5120
512,4352,5120
1024,4352,5120
2048,4352,5120
4096,4352,5120
8192,4352,5120
16384,4352,5120
1,256,5120
2,256,5120
4,256,5120
8,256,5120
16,256,5120
32,256,5120
48,256,5120
64,256,5120
80,256,5120
96,256,5120
112,256,5120
128,256,5120
144,256,5120
160,256,5120
176,256,5120
192,256,5120
208,256,5120
224,256,5120
240,256,5120
256,256,5120
512,256,5120
1024,256,5120
2048,256,5120
4096,256,5120
8192,256,5120
16384,256,5120
1,3584,5120
2,3584,5120
4,3584,5120
8,3584,5120
16,3584,5120
32,3584,5120
48,3584,5120
64,3584,5120
80,3584,5120
96,3584,5120
112,3584,5120
128,3584,5120
144,3584,5120
160,3584,5120
176,3584,5120
192,3584,5120
208,3584,5120
224,3584,5120
240,3584,5120
256,3584,5120
512,3584,5120
1024,3584,5120
2048,3584,5120
4096,3584,5120
8192,3584,5120
16384,3584,5120
1,1280,5120
2,1280,5120
4,1280,5120
8,1280,5120
16,1280,5120
32,1280,5120
48,1280,5120
64,1280,5120
80,1280,5120
96,1280,5120
112,1280,5120
128,1280,5120
144,1280,5120
160,1280,5120
176,1280,5120
192,1280,5120
208,1280,5120
224,1280,5120
240,1280,5120
256,1280,5120
512,1280,5120
1024,1280,5120
2048,1280,5120
4096,1280,5120
8192,1280,5120
16384,1280,5120
1,768,5120
2,768,5120
4,768,5120
8,768,5120
16,768,5120
32,768,5120
48,768,5120
64,768,5120
80,768,5120
96,768,5120
112,768,5120
128,768,5120
144,768,5120
160,768,5120
176,768,5120
192,768,5120
208,768,5120
224,768,5120
240,768,5120
256,768,5120
512,768,5120
1024,768,5120
2048,768,5120
4096,768,5120
8192,768,5120
16384,768,5120
1,5120,768
2,5120,768
4,5120,768
8,5120,768
16,5120,768
32,5120,768
48,5120,768
64,5120,768
80,5120,768
96,5120,768
112,5120,768
128,5120,768
144,5120,768
160,5120,768
176,5120,768
192,5120,768
208,5120,768
224,5120,768
240,5120,768
256,5120,768
512,5120,768
1024,5120,768
2048,5120,768
4096,5120,768
8192,5120,768
16384,5120,768
1,5120,2176
2,5120,2176
4,5120,2176
8,5120,2176
16,5120,2176
32,5120,2176
48,5120,2176
64,5120,2176
80,5120,2176
96,5120,2176
112,5120,2176
128,5120,2176
144,5120,2176
160,5120,2176
176,5120,2176
192,5120,2176
208,5120,2176
224,5120,2176
240,5120,2176
256,5120,2176
512,5120,2176
1024,5120,2176
2048,5120,2176
4096,5120,2176
8192,5120,2176
16384,5120,2176
1,2176,5120
2,2176,5120
4,2176,5120
8,2176,5120
16,2176,5120
32,2176,5120
48,2176,5120
64,2176,5120
80,2176,5120
96,2176,5120
112,2176,5120
128,2176,5120
144,2176,5120
160,2176,5120
176,2176,5120
192,2176,5120
208,2176,5120
224,2176,5120
240,2176,5120
256,2176,5120
512,2176,5120
1024,2176,5120
2048,2176,5120
4096,2176,5120
8192,2176,5120
16384,2176,5120
